date,breau,month,year,station,lon,_id,time,type,lat
16,中壢分局,11,108,龍興所,121.2376222,308,1081116,汽車竊盜,24.9323476
12,大溪分局,11,108,圳頂所,121.275654,309,1081112,汽車竊盜,24.9032228
11,龜山分局,11,108,迴龍所,121.3504775,310,1081111,汽車竊盜,25.0017144
8,中壢分局,11,108,青埔所,121.1949386,311,1081108,汽車竊盜,25.0034139
8,八德分局,11,108,四維所,121.3007117,312,1081108,汽車竊盜,24.958023
8,楊梅分局,11,108,埔頂所,121.1502619,313,1081108,汽車竊盜,24.9636172
7,平鎮分局,11,108,建安所,121.2430116,314,1081107,汽車竊盜,24.9104841
7,楊梅分局,11,108,草湳所,121.1852745,315,1081107,汽車竊盜,24.913338
7,大園分局,11,108,潮音所,121.181163,316,1081107,汽車竊盜,25.0672142
7,蘆竹分局,11,108,南崁所,121.2854996,317,1081107,汽車竊盜,25.0785804
6,大溪分局,11,108,三元所,121.2836381,318,1081106,汽車竊盜,24.8986219
6,大園分局,11,108,三?所,121.1916328,319,1081106,汽車竊盜,24.9375493
5,蘆竹分局,11,108,外社所,121.3180727,320,1081105,汽車竊盜,25.0757891
3,龍潭分局,11,108,龍潭所,121.2124573,321,1081103,汽車竊盜,24.8589928
